Business Name,Profile,Catagories,Phone Number,Address,Rating,Reviews
6a Architects,https://www.yell.com/biz/6a-architects-london-7487737/,Architects,020 7242 5422,"3rd Floor Rapier House, 40-46 Lambs Conduit St, London, WC1N 3LJ",not available,not available
Feilden & Mawson,https://www.yell.com/biz/feilden-and-mawson-london-6252167/,Architects,020 7841 1980,"21-27 Lambs Conduit St, London, WC1N 3NL",not available,not available
Nathan Silver Architects,https://www.yell.com/biz/nathan-silver-architects-london-292012/,Architects,020 7834 9300,"19 Regency St, London, SW1P 4BY",not available,not available
Perry & Bell Ltd,https://www.yell.com/biz/perry-and-bell-ltd-london-8127820/,Architects,020 7495 6636,"21 Woodstock St, London, W1C 2AP",not available,not available
Harvey Wright Architects,https://www.yell.com/biz/harvey-wright-architects-london-9614571/,Architects,020 3239 6044,"154-156 Blackfriars Foundry, Blackfriars Rd, London, SE1 8EN",not available,not available
E C D Architects Ltd,https://www.yell.com/biz/e-c-d-architects-ltd-london-4155943/,Architects,020 7939 7500,not available,not available,not available
Nex Architecture,https://www.yell.com/biz/nex-architecture-london-8729591/,Architects,020 7183 0900,"55 Whitfield St, London, W1T 4AH",not available,not available
Pozzoni Architecture Ltd,https://www.yell.com/biz/pozzoni-architecture-ltd-london-8169171/,Architects,020 7078 0079,"10-12 Emerald St, London, WC1N 3QA",not available,not available
Ryder Architecture,https://www.yell.com/biz/ryder-architecture-london-7635663/,Architects,020 7299 0550,"Middlesex House 34-42, Cleveland St, London, W1T 4JE",not available,not available
Woods Bagot,https://www.yell.com/biz/woods-bagot-london-8081373/,Architects,020 7637 6880,"75 Riding House St, London, W1W 7EJ",not available,not available
Charles Brice Ltd,https://www.yell.com/biz/charles-brice-ltd-london-386015/,Architects,020 7491 1932,"18, South Molton St, Mayfair, London, W1K 5QU",not available,not available
Black Architecture Ltd,https://www.yell.com/biz/black-architecture-ltd-london-7790684/,Architects,020 7735 5679,"63 Lambeth Walk, London, SE11 6DX",not available,not available
Studio Downie Architects LLP,https://www.yell.com/biz/studio-downie-architects-llp-london-8605264/,Architectural Services,020 7299 7766,"37-41 Gower St, London, WC1E 6HH",not available,not available
Simon Conder Architect,https://www.yell.com/biz/simon-conder-architect-london-3450586/,Architects,020 7636 6721,"6 Gordon Mansions, Torrington Place, London, WC1E 7HE",not available,not available
Indomo Ltd,https://www.yell.com/biz/indomo-ltd-london-8315437/,Architects,07775 679319,"85 Great Portland St, London, W1W 7LT",not available,not available
RTKL UK Ltd,https://www.yell.com/biz/rtkl-uk-ltd-london-2824074/,Architects,020 7306 0404,"22 Torrington Place, London, WC1E 7HJ",not available,not available
Amanda Levete Architects,https://www.yell.com/biz/amanda-levete-architects-london-2707120/,Architects,020 7243 7670,"33 John St, London, WC1N 2AT",not available,not available
Architecture for London,https://www.yell.com/biz/architecture-for-london-london-9049113/,Architects,020 3637 4236,"3-5 Bleeding Heart Yard, London, EC1N 8SJ",not available,not available
D M W R Architects,https://www.yell.com/biz/d-m-w-r-architects-london-8364564/,Architects,020 7870 3779,"16-18 Hatton Garden, London, EC1N 8AT",not available,not available
Rio Architects Ltd,https://www.yell.com/biz/rio-architects-ltd-london-8763762/,Architects,020 3691 7565,"19-21 Hatton Garden, London, EC1N 8BA",not available,not available
D M W R Architects,https://www.yell.com/biz/d-m-w-r-architects-london-337064/,Architects,020 7870 3779,"16-18 Hatton Garden, London, EC1N 8AT",not available,not available
Metaphorm,https://www.yell.com/biz/metaphorm-london-10109519/,Architects,020 7490 8986,"109-115 Blackfriars Rd, London, SE1 8HU",not available,not available
Medical Architecture,https://www.yell.com/biz/medical-architecture-london-5036938/,Architects,020 7490 1904,"4-6 Northington St, London, WC1N 2JG",not available,not available
Darling Associates,https://www.yell.com/biz/darling-associates-london-4371714/,Architects,020 7630 0500,"1 Greencoat House Francis St, London, SW1P 1PQ",not available,not available
M B H Architects,https://www.yell.com/biz/m-b-h-architects-london-7358444/,Architects,020 7833 9616,"166 Clerkenwell Rd, London, EC1R 5DE",not available,not available
Make Ltd,https://www.yell.com/biz/make-ltd-london-3609677/,Architects,020 7636 5151,"13 Fitzroy St, London, W1T 4BQ",not available,not available
Ink,https://www.yell.com/biz/ink-london-5050434/,Architects,01202 496222,"10 Chancel St, London, SE1 0UX",not available,not available
Syborn & Atkinson,https://www.yell.com/biz/syborn-and-atkinson-london-4596937/,Architects,020 7735 2071,"4 Pratt Walk, London, SE11 6AS",not available,not available
Bolton Chalklin Architects Ltd,https://www.yell.com/biz/bolton-chalklin-architects-ltd-london-7845632/,Architects,020 7060 3551,"Treasure House, 19-21, Hatton Garden, London, EC1N 8BA",not available,not available
Ben Adams Architects,https://www.yell.com/biz/ben-adams-architects-london-3313972/,Architects,020 7633 0000,"99 Southwark St, London, SE1 0JF",not available,not available
Grid Architects Ltd,https://www.yell.com/biz/grid-architects-ltd-london-6526873/,Architects,020 7593 3260,"128 Southwark St, London, SE1 0SW",not available,not available
Paolo Cossu Architects,https://www.yell.com/biz/paolo-cossu-architects-london-9748325/,Architects,020 7112 7533,"25 Hatton Garden, London, EC1N 8BQ",not available,not available
David Miller Architects,https://www.yell.com/biz/david-miller-architects-london-3922987/,Architectural Services,020 7636 4318,"41-42 Foley St, London, W1W 7TS",not available,not available
Studio Octopi,https://www.yell.com/biz/studio-octopi-london-5907415/,Architects,020 7633 0003,"1c Burrows Mews, London, SE1 8LD",not available,not available
Weston Williamson & Partners,https://www.yell.com/biz/weston-williamson-and-partners-london-8493660/,Architects,020 7401 8877,"12 Valentine Place, London, SE1 8QH",not available,not available
Quad Design Ltd,https://www.yell.com/biz/quad-design-ltd-london-383564/,Architects,020 7837 3336,"85 O'Donnell Court, Brunswick Centre, London, WC1N 1NX",not available,not available
Reid Architects,https://www.yell.com/biz/reid-architects-london-4168042/,Architects,020 7404 2552,"3-5 Bleeding Heart Yard, London, EC1N 8SJ",not available,not available
